author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Strunk,William Strunk Jr.,The Elements of Style,1918,Liked,20s,Non-Fiction,"{Writing}, {Self-Help}"
Swift,Jonathan Swift,Gulliver's Travels,1726,Liked,Teens,Fiction,{Literature}
Taleb,Nassim Nicholas Taleb,The Black Swan,2007,Liked,20s,Non-Fiction,"{Philosophy}, {Statistics}"
Thaler,Richard H. Thaler,Nudge,2008,Liked,20s,Non-Fiction,{Psychology}
Thiel,Peter Thiel,Zero to One,2014,Loved,20s,Non-Fiction,"{Philosophy}, {Business}"
Thoreau,Henry David Thoreau,Walden,1854,Liked,Teens,Non-Fiction,"{Philosophy}, {Memoirs}"
Tolkien,J.R.R. Tolkien,The Lord of the Rings,1955,Liked,Teens,Fiction,{Fantasy}
Tolkien,J.R.R. Tolkien,The Hobbit,1937,Liked,Childhood,Fiction,{Fantasy}
Tzu,Sun Tzu,The Art of War,-500,Liked,20s,Non-Fiction,{Philosophy}
Tzu,Lao Tzu,Tao Te Ching,-600,Liked,20s,Non-Fiction,{Philosophy}
Vance,Ashlee Vance,Elon Musk,2015,Liked,20s,Non-Fiction,{Biographies}
Verne,Jules Verne,Twenty Thousand Leagues Under the Sea,1869,Disliked,Teens,Fiction,{Science-Fiction}
Voltaire,Voltaire,Candide,1759,Liked,Teens,Fiction,"{Parables}, {Philosophy}, {Literature}"
Vonnegut,Kurt Vonnegut Jr.,Cat's Cradle,1963,Liked,20s,Fiction,{Literature}
Vonnegut,Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",1965,Liked,Teens,Fiction,{Literature}
Vonnegut,Kurt Vonnegut Jr.,Slaughterhouse-Five,1969,Liked,20s,Fiction,{Literature}
Voss,Chris Voss,Never Split the Difference,2016,Liked,20s,Non-Fiction,"{Self-Help}, {Business}"
Wallace,David Foster Wallace,Oblivion,2004,Loved,20s,Fiction,"{Literature}, {Short Stories}"
Wallace,David Foster Wallace,Infinite Jest,1996,Loved,20s,Fiction,{Literature}
Wallace,David Foster Wallace,Both Flesh and Not: Essays,2012,Loved,20s,Non-Fiction,{Essays}
Watterson,Bill Watterson,Calvin and Hobbes,1985-1995,Loved,Childhood,Fiction,{Comics}
Weir,Andy Weir,Artemis,2017,Indifferent,20s,Fiction,{Science-Fiction}
Wells,H.G. Wells,The Island of Doctor Moreau,1896,Indifferent,20s,Fiction,{Science-Fiction}
Westover,Tara Westover,Educated,2018,Loved,20s,Non-Fiction,{Memoirs}
Wickham,Hadley Wickham,Advanced R,2014,Loved,20s,Non-Fiction,{Computer Science & Programming}
Wiesel,Elie Wiesel,Night,1956,Indifferent,20s,Fiction,{Literature}
Wilde,Oscar Wilde,The Picture of Dorian Gray,1890,Liked,20s,Fiction,{Literature}
Wilson,Robert Charles Wilson,Spin,2005,Liked,Teens,Fiction,{Science-Fiction}
Wolf,Christa Wolf,Cassandra,1983,Disliked,20s,Fiction,{Literature}
Woolf,Virginia Woolf,Mrs. Dalloway,1925,Liked,20s,Fiction,{Literature}
Wright,Ronald Wright,A Short History of Progress,2004,Indifferent,Teens,Non-Fiction,"{Philosophy}, {History}"
Wyndham,John Wyndham,The Chrysalids,1955,Liked,Teens,Fiction,{Literature}
Yudkowsky,Eliezer Yudkowsky,Inadequate Equilibria,2017,Liked,20s,Non-Fiction,{Philosophy}
Yudkowsky,Eliezer Yudkowsky,Rationality From AI to Zombies,2015,Loved,20s,Non-Fiction,{Philosophy}
Yudkowsky,Eliezer Yudkowsky,Harry Potter and the Methods of Rationality,2015,Loved,20s,Fiction,{Fantasy}
